	train	test	val
1	1025	1018	1053
2	1068	1089	1008
3	1040	1081	1001
4	1043	1012	1066
5	1024	1059	1033
6	1030	1050	1019
7	1016	1023	1065
8	1077	1037	1079
9	1021	1034	
10	1051	1058	
11	1072	1069	
12	1088	1049	
13	1020	1028	
14	1047	1056	
15	1015	1067	
16	1011	1041	
17	1055	1014	
18	1036	1090	
19	1061	1046	
20	1044		
21	1063		
22	1074		
23	1048		
24	1054		
25	1017		
26	1091		
27	1082		
28	1007		
29	1087		
30	1005		
31	1073		
32	1080		
33	1009		
34	1026		
35	1078		
36	1083		
37	1057		
38	1039		
39	1042		
40	1035		
41	1032		
42	1086		
43	1027		
44	1006		
45	1029		
46	1064		
47	1085		
48	1071		
49	1060		
50	1052		
51	1075		
52	1004		
53	1031		
54	1003		
55	1010		
56	1062		
57	1076		
58	1045		
59	1070		
60	1022		
61	1013		
62	1002		
63	1038		
64	1084		
