	train	test	val
1	1015	1052	1088
2	1085	1019	1016
3	1071	1051	1024
4	1002	1068	1046
5	1040	1039	1023
6	1090	1006	1004
7	1014	1056	1029
8	1078	1025	1003
9	1022	1057	
10	1027	1037	
11	1045	1091	
12	1086	1084	
13	1034	1036	
14	1063	1062	
15	1053	1089	
16	1076	1044	
17	1012	1007	
18	1055	1082	
19	1065	1038	
20	1043		
21	1010		
22	1008		
23	1074		
24	1049		
25	1041		
26	1077		
27	1067		
28	1021		
29	1064		
30	1061		
31	1011		
32	1080		
33	1070		
34	1005		
35	1060		
36	1066		
37	1048		
38	1009		
39	1030		
40	1031		
41	1069		
42	1059		
43	1033		
44	1081		
45	1020		
46	1013		
47	1075		
48	1032		
49	1058		
50	1001		
51	1072		
52	1073		
53	1042		
54	1047		
55	1017		
56	1079		
57	1026		
58	1028		
59	1035		
60	1054		
61	1083		
62	1087		
63	1018		
64	1050		
